variavel,importancia
alcool_por_densidade,0.15870686902534736
alcohol,0.13028815589881954
sulphates,0.11255603475173974
volatile acidity,0.10178723279889411
citric acid,0.07790585123199434
density,0.06340244405166943
total sulfur dioxide,0.05653589177872999
razao_so2_livre,0.05390468498068401
chlorides,0.05099279969953092
fixed acidity,0.046598731239212515
acidez_total,0.04456588517316866
pH,0.035781216937527144
free sulfur dioxide,0.03385088257035494
residual sugar,0.03312331986232731
