modelo,threshold,accuracy,balanced_accuracy,precision_alta,recall_alta,f1_alta,roc_auc,pr_auc
Gradient Boosting,0.5,0.8941176470588236,0.6900452488687783,0.6666666666666666,0.4117647058823529,0.509090909090909,0.9036465264838968,0.5344286500962744
Regressão Logística,0.5,0.796078431372549,0.7828054298642534,0.37142857142857144,0.7647058823529411,0.5,0.8926004791056694,0.4998092876122242
Random Forest,0.5,0.9019607843137255,0.6696832579185521,0.8,0.35294117647058826,0.4897959183673469,0.9158903380356668,0.6774948698356377
