metrica,media,desvio_padrao
accuracy,0.8831401526127692,0.017454439355027728
balanced_accuracy,0.6773224578309325,0.06066817274135774
f1,0.4691008788986545,0.10004238094176575
precision,0.5969176788124158,0.07715032635121874
recall,0.3955026455026455,0.12358207299035026
roc_auc,0.871743845843422,0.029035390318644317
average_precision,0.5550519327616886,0.07050930463440357
